일시,지점,폭염여부(O/X),최고체감온도(°C),최고기온(°C),평균기온(°C),최저기온(°C),평균상대습도(%),폭염특보(O/X),폭염영향예보(단계),열대야(O/X),자외선지수(단계)
2022-09-01,북강릉(104),X,27.4,26.4,20.9,16.6,82.8,X, ,X,보통
2022-09-01,동해(106),X,26.8,25,21,17.7,89.4,X, ,X,보통
2022-09-01,서울(108),X,30.1,30.4,24,18.3,70.8,X, ,X,매우높음
2022-09-01,인천(112),X,28.6,28.3,23.9,19.6,71.9,X, ,X,매우높음
2022-09-01,원주(114),X,28,28.2,22.2,17.8,75.6,X, ,X,높음
2022-09-01,울릉도(115),X,25.1,23.1,20.7,19.2,90,X, ,X,높음
2022-09-01,수원(119),X,29.7,30.8,23.7,17.5,76.9,X, ,X,높음
2022-09-01,영월(121),X,27.4,27.4,20.4,16.1,83.6,X, ,X,높음
2022-09-01,충주(127),X,27.9,27.6,21.5,17.2,83.4,X, ,X,높음
2022-09-01,서산(129),X,29.3,28.9,22.9,18.2,78,X, ,X,매우높음
2022-09-01,울진(130),X,25.9,24.2,20.7,17.5,88.4,X, ,X,높음
2022-09-01,청주(131),X,28.7,28.5,23.5,20.1,75.1,X, ,X,높음
2022-09-01,대전(133),X,28.4,27.8,22.4,19.7,80.1,X, ,X,높음
2022-09-01,추풍령(135),X,25.6,24.1,20.2,16.7,87,X, ,X,높음
2022-09-01,안동(136),X,26.2,24.8,20.5,18.1,89.1,X, ,X,보통
2022-09-01,상주(137),X,26.8,25,21.2,18.7,91.4,X, ,X,보통
2022-09-01,포항(138),X,26.5,24.6,22.4,20,82.9,X, ,X,높음
2022-09-01,군산(140),X,28.8,28.2,23,19,81,X, ,X,높음
2022-09-01,대구(143),X,26.7,25.2,21.6,18.5,88.4,X, ,X,높음
2022-09-01,전주(146),X,27.7,26.6,22.1,19,85.5,X, ,X,높음
2022-09-01,울산(152),X,25.9,23.9,21.8,19.8,86.1,X, ,X,높음
2022-09-01,창원(155),X,25.8,24.5,22.1,19.7,79.1,X, ,X,높음
2022-09-01,광주(156),X,28.3,26.4,22.6,20.2,94.1,X, ,X,보통
2022-09-01,부산(159),X,25.5,23.1,21.9,21,86.5,X, ,X,높음
2022-09-01,통영(162),X,26.1,23.5,22,21.1,90.9,X, ,X,높음
2022-09-01,목포(165),X,26.6,24.9,22.7,20.3,85,X, ,X,보통
2022-09-01,여수(168),X,25.3,23.6,22.6,21.7,79,X, ,X,높음
2022-09-01,흑산도(169),X,26.3,24.1,22.2,20.9,91,X, ,X,보통
2022-09-01,완도(170),X,26.6,25.1,22.7,21.1,81.9,X, ,X,보통
2022-09-01,고창(172),X,27,25.4,21.9,18.5,85.6,X, ,X,보통
2022-09-01,제주(184),X,27.7,25.9,24.8,24,82.8,X, ,X,높음
2022-09-01,진주(192),X,26.9,25.3,21.9,18.2,85.9,X, ,X,높음
2022-09-01,양평(202),X,28.3,28.8,21.7,17.5,82.4,X, ,X,높음
2022-09-01,이천(203),X,29.1,29.2,22.6,16.9,81.6,X, ,X,높음
2022-09-01,인제(211),X,28.8,29,20.2,16.3,80.6,X, ,X,높음
2022-09-01,홍천(212),X,28.2,28.5,20.9,16.4,80.8,X, ,X,높음
2022-09-01,태백(216),X,24.3,23.8,17,11.8,87.4,X, ,X,높음
2022-09-01,정선군(217),X,27.2,26.8,19.4,15.8,81.5,X, ,X,높음
2022-09-01,제천(221),X,27.5,26.9,20.1,15.2,87.6,X, ,X,높음
2022-09-01,보은(226),X,26.8,25.7,20.4,17,90.1,X, ,X,높음
2022-09-01,천안(232),X,28,27.9,21.5,17.5,85.8,X, ,X,높음
2022-09-01,보령(235),X,28.1,28.1,22.7,18.6,79.3,X, ,X,높음
2022-09-01,부여(236),X,28.6,28.1,22.3,18.4,84.6,X, ,X,높음
2022-09-01,금산(238),X,26.6,25.4,20.9,17,88.4,X, ,X,높음
2022-09-01,세종(239),X,28.2,28.2,22.3,19.1,80.1,X, ,X,높음
2022-09-01,부안(243),X,28.1,27.5,22.2,18.9,83.8,X, ,X,높음
2022-09-01,임실(244),X,26.1,24.4,20.8,18.1,87.9,X, ,X,보통
2022-09-01,정읍(245),X,27.2,26,21.9,19.4,85.5,X, ,X,보통
2022-09-01,남원(247),X,25.8,24.9,21.5,17.6,80.9,X, ,X,보통
2022-09-01,장수(248),X,25.2,24,19.9,15.5,88.8,X, ,X,보통
2022-09-01,영광군(252),X,27.4,26,22.1,18.8,86.1,X, ,X,보통
2022-09-01,김해시(253),X,25.8,23.7,21.5,19.6,86.9,X, ,X,높음
2022-09-01,순창군(254),X,26.6,25.3,21.6,18.4,89.1,X, ,X,보통
2022-09-01,양산시(257),X,26.5,24.8,22.8,21.3,81.1,X, ,X,높음
2022-09-01,강진군(259),X,27.7,26.6,22.5,19.7,86,X, ,X,보통
2022-09-01,장흥(260),X,27.5,26.6,22.2,19,88.3,X, ,X,보통
2022-09-01,해남(261),X,27.7,26.2,21.9,18.5,90,X, ,X,보통
2022-09-01,고흥(262),X,25.6,24.1,21.7,19,84.8,X, ,X,높음
2022-09-01,의령군(263),X,27.6,25.6,22.1,18,89.6,X, ,X,높음
2022-09-01,함양군(264),X,27,24.6,21,17.8,94.6,X, ,X,보통
2022-09-01,진도군ASOS(268),X,27.1,25.3,22.7,20.6,86.3,X, ,X,높음
2022-09-01,봉화(271),X,25.1,23.3,18.3,14.6,92.6,X, ,X,보통
2022-09-01,영주(272),X,26.3,25.4,19.5,16.2,91.1,X, ,X,보통
2022-09-01,문경(273),X,26.7,25.1,20.8,17.5,89.8,X, ,X,보통
